ticker,company name,sector,sub-industry,date first added,newsDateLength
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,1957-03-04,85
PKI,PerkinElmer,Health Care,Health Care Equipment,1985-05-31,156
PRGO,Perrigo,Health Care,Pharmaceuticals,2011-12-19,297
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,1957-03-04,7
PM,Philip Morris International,Consumer Staples,Tobacco,2008-03-31,137
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,2012-05-01,150
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,,291
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,2008-09-24,118
PNC,PNC Financial Services,Financials,Regional Banks,1988-04-30,118
POOL,Pool Corporation,Consumer Discretionary,Distributors,2020-10-07,163
PPG,PPG Industries,Materials,Specialty Chemicals,1957-03-04,148
PPL,PPL Corp.,Utilities,Electric Utilities,,407
PFG,Principal Financial Group,Financials,Life & Health Insurance,2002-07-22,273
PG,Procter & Gamble,Consumer Staples,Personal Products,1957-03-04,68
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,1997-08-04,242
PLD,Prologis,Real Estate,Industrial REITs,2003-07-17,166
PRU,Prudential Financial,Financials,Life & Health Insurance,2002-07-22,178
PEG,Public Service Enterprise Group (PSEG),Utilities,Electric Utilities,1957-03-04,321
PSA,Public Storage,Real Estate,Specialized REITs,2005-08-19,315
PHM,PulteGroup,Consumer Discretionary,Homebuilding,1984-04-30,99
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2013-02-15,175
QRVO,Qorvo,Information Technology,Semiconductors,2015-06-11,86
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,2009-07-01,362
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,,29
DGX,Quest Diagnostics,Health Care,Health Care Services,2002-12-12,118
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2007-02-02,156
RJF,"Raymond James Financial, Inc.",Financials,Investment Banking & Brokerage,2017-03-20,369
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,,26
O,Realty Income Corporation,Real Estate,Retail REITs,2015-04-07,154
REG,Regency Centers Corporation,Real Estate,Retail REITs,2017-03-02,496
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,2013-05-01,62
RF,Regions Financial Corp.,Financials,Regional Banks,1998-08-28,171
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,2008-12-05,168
RMD,ResMed,Health Care,Health Care Equipment,2017-07-26,179
RHI,Robert Half International,Industrials,Human Resource & Employment Services,2000-12-05,308
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,,162
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,2018-10-01,340
ROP,Roper Technologies,Industrials,Industrial Conglomerates,2009-12-23,269
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,2009-12-21,191
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2014-12-05,40
SPGI,S&P Global Inc.,Financials,Financial Exchanges & Data,,38
CRM,Salesforce.com,Information Technology,Application Software,2008-09-15,34
SBAC,SBA Communications,Real Estate,Specialized REITs,2017-09-01,343
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,1965-03-31,207
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",2012-07-02,222
SEE,Sealed Air,Materials,Paper Packaging,1957-03-04,335
SRE,Sempra Energy,Utilities,Multi-Utilities,,134
NOW,ServiceNow,Information Technology,Systems Software,2019-11-21,97
SHW,Sherwin-Williams,Materials,Specialty Chemicals,1964-06-30,250
SPG,Simon Property Group Inc,Real Estate,Retail REITs,2002-06-26,71
SWKS,Skyworks Solutions,Information Technology,Semiconductors,2015-03-12,124
SLG,SL Green Realty,Real Estate,Office REITs,2015-03-20,219
SNA,Snap-on,Industrials,Industrial Machinery,1982-09-30,398
SO,Southern Company,Utilities,Electric Utilities,1957-03-04,110
LUV,Southwest Airlines,Industrials,Airlines,1994-07-01,49
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,1982-09-30,217
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,,33
STT,State Street Corp.,Financials,Asset Management & Custody Banks,,152
STE,STERIS plc,Health Care,Health Care Equipment,2019-12-23,335
SYK,Stryker Corp.,Health Care,Health Care Equipment,2000-12-12,252
SIVB,SVB Financial,Financials,Regional Banks,2018-03-19,259
SYF,Synchrony Financial,Financials,Consumer Finance,2015-11-18,232
SNPS,Synopsys Inc.,Information Technology,Application Software,2017-03-16,140
SYY,Sysco Corp.,Consumer Staples,Food Distributors,1986-12-31,247
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,2019-07-15,62
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,,77
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,2018-03-19,107
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","",93
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,1976-12-31,31
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,2011-10-17,343
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,2009-06-05,230
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,2020-06-22,266
TFX,Teleflex,Health Care,Health Care Equipment,2019-01-18,356
TER,Teradyne,Information Technology,Semiconductor Equipment,2020-09-21,168
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,2020-12-21,3
TXN,Texas Instruments,Information Technology,Semiconductors,,109
TXT,Textron Inc.,Industrials,Aerospace & Defense,1978-12-31,282
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,,48
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,1985-09-30,135
TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,2014-01-24,160
TT,Trane Technologies plc,Industrials,Building Products,2010-11-17,308
TDG,TransDigm Group,Industrials,Aerospace & Defense,2016-06-03,281
TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,2002-08-21,159
TFC,Truist Financial,Financials,Regional Banks,1997-12-04,261
TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,2018-06-07,20
TYL,Tyler Technologies,Information Technology,Application Software,2020-06-22,267
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,,97
UDR,"UDR, Inc.",Real Estate,Residential REITs,2016-03-07,510
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,2016-04-18,124
USB,U.S. Bancorp,Financials,Diversified Banks,,170
UAA,Under Armour (Class A),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2014-05-01,77
UA,Under Armour (Class C),Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2016-04-08,77
UNP,Union Pacific Corp,Industrials,Railroads,1957-03-04,153
UAL,United Airlines Holdings,Industrials,Airlines,2015-09-03,42
UNH,UnitedHealth Group Inc.,Health Care,Managed Health Care,1994-07-01,64
UPS,United Parcel Service,Industrials,Air Freight & Logistics,2002-07-22,37
URI,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,2014-09-20,221
UHS,Universal Health Services,Health Care,Health Care Facilities,2014-09-20,289
UNM,Unum Group,Financials,Life & Health Insurance,1994-03-01,356
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,,195
VAR,Varian Medical Systems,Health Care,Health Care Equipment,2007-02-12,136
VTR,Ventas Inc,Real Estate,Health Care REITs,2009-03-04,273
VRSN,Verisign Inc.,Information Technology,Internet Services & Infrastructure,2006-02-01,445
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,2015-10-08,229
VZ,Verizon Communications,Communication Services,Integrated Telecommunication Services,1983-11-30,31
VRTX,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,2013-09-23,83
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",1979-06-30,155
VIAC,ViacomCBS,Communication Services,Movies & Entertainment,,71
VTRS,Viatris,Health Care,Pharmaceuticals,2004-04-23,43
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,2009-12-21,48
VNT,Vontier,Information Technology,Electronic Equipment & Instruments,2020-10-09,73
VNO,Vornado Realty Trust,Real Estate,Office REITs,,248
VMC,Vulcan Materials,Materials,Construction Materials,1999-06-30,334
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,2019-12-05,308
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Construction Machinery & Heavy Trucks,2019-02-27,321
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,1982-08-31,21
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1979-12-31,44
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,1976-06-30,14
WM,Waste Management Inc.,Industrials,Environmental & Facilities Services,,245
WAT,Waters Corporation,Health Care,Health Care Distributors,,363
WEC,WEC Energy Group,Utilities,Electric Utilities,2008-10-31,387
